#,Anime,#1,#2,#3,#4-5,#6-10,#11-20,Points,Classification,Genre
146,Princess Tutu,1,2,3,4,11,19,78,Shojo,Fantasy / Action
156,High School DxD,1,2,2,5,8,21,73,Shonen,Fantasy / Action
157,OniMai,1,1,3,3,13,17,73,Seinen,Slice of Life
158,Ouran High School Host Club,1,0,1,6,12,21,72,Shojo,Slice of Life
164,"Love, Chuunibyo, and Other Delusions",1,0,3,2,10,24,67,Shonen,Slice of Life
165,InuYasha,1,4,2,4,8,9,66,Shonen,Isekai
168,Solo leveling,1,1,1,2,14,17,64,Shonen,Fantasy / Action
170,Keep Your Hands Off Eizouken!,1,0,0,3,15,19,63,Seinen,Slice of Life
171,The Tale of the Princess Kaguya,1,2,2,4,8,13,62,Kodomomuke,Other
173,Tokyo Ghoul,1,2,2,2,8,18,61,Seinen,Fantasy / Action
174,Lucky Star,1,0,2,4,7,22,61,Seinen,Slice of Life
178,Mobile Suit Gundam: The Witch from Mercury,1,0,1,5,11,14,60,Shonen,Mecha
179,Zombie Land Saga,1,0,1,1,11,26,60,Seinen,Fantasy / Action
182,Hinamatsuri,1,1,0,3,7,27,59,Seinen,Slice of Life
185,SSSS.Girdman + SSSS.Dynazenon,1,1,0,3,10,20,58,Shonen,Mecha
188,Monthly Girls' Nozaki-kun,1,1,0,2,7,27,56,Shonen,Slice of Life
189,Weathering With You,1,0,0,4,11,17,56,Seinen,Other
191,Shangri-la Frontier,1,0,1,2,8,24,55,Shonen,Isekai
194,DanMachi,1,1,1,4,7,15,54,Shonen,Isekai
195,Yona of the Dawn,1,0,1,4,5,23,54,Shojo,Fantasy / Action
196,Soul Eater,1,0,0,3,10,20,54,Shonen,Fantasy / Action
202,Date a Live,1,3,2,3,5,9,53,Shonen,Fantasy / Action
207,Ya Boy Kongming!,1,1,2,1,4,21,49,Shonen,Isekai
217,Rurouni Kenshin,1,2,1,3,5,9,45,Shonen,Other
218,The Ancient Magus' Bride,1,2,1,3,4,11,45,Seinen,Fantasy / Action
221,The Daily Life of High School Boys,1,1,0,1,7,18,44,Seinen,Slice of Life
222,Panty and Stocking,1,0,1,0,10,15,44,Seinen,Fantasy / Action
223,Kingdom,1,1,1,5,3,9,43,Seinen,Other
228,Gochiusa,1,1,2,2,4,11,42,Seinen,Slice of Life
229,Princess Connect Re:Dive,1,0,4,0,7,7,42,Seinen,Isekai
233,Detective Conan,1,2,1,1,3,14,40,Shonen,Other
234,Darker than Black,1,0,2,2,6,9,40,Seinen,Fantasy / Action
241,Akame Ga Kill,1,0,0,2,4,19,38,Shonen,Fantasy / Action
